T20250716094638	仕様書確認ボット			実行中	原口	原口陽一郎	7/16	10/31				
	Stage1: Confluence専用高精度検索				完了	開発チーム	PM/デザイナー	2025/07/23	2025/08/13	2025/08/13	SPEC-DS-001,002	✅完了・本番稼働中
	1. Phase 1.1: ハイブリッドアーキテクチャ基盤			完了	開発チーム	-	7/23	7/30	2025/07/30	-	✅完了・基盤実装完了	
		固定検索パイプライン実装		完了	開発チーム	-	7/23	7/28	2025/07/28	SPEC-DS-002	✅Step1-4統合フロー実装完了	
		Agent機能実装		完了	開発チーム	-	7/27	7/29	2025/07/29	SPEC-DS-001	✅ResponseGeneration/FallbackSearch実装完了	
		プロンプト最適化		完了	開発チーム	-	7/28	7/30	2025/07/30	SPEC-PL-001	✅CLIENTTOMO特化プロンプト完成	
	2. Phase 1.2: UI統合・プロセス可視化			完了	開発チーム	UI/UX	7/25	7/30	2025/07/30	SPEC-PL-001 3.1.4	✅完了・統合UI+プロセス可視化完成	
		統合アコーディオンUI		完了	開発チーム	-	7/25	7/28	2025/07/28	MVP-UI-04	✅5段階→1つのプロセス表示完成	
		思考プロセス詳細化		完了	開発チーム	-	7/27	7/29	2025/07/29	MVP-UI-04	✅キーワード分割・検索戦略可視化	
		ワンクリック深掘り機能		完了	開発チーム	-	7/28	7/30	2025/07/30	MVP-UI-04	✅メモリー機能付き実装完了	
	3. Phase 2.1: エージェント精度向上			完了	開発チーム	AI	7/26	7/30	2025/07/30	新規実装	✅追加実行・高精度化完了	
		プロンプトエンジニアリング強化		完了	開発チーム	-	7/26	7/28	2025/07/28	-	✅CLIENTTOMO特化v2.1プロンプト完成	
		キーワード抽出高精度化		完了	開発チーム	-	7/27	7/29	2025/07/29	-	✅専門用語辞書+質問分類ロジック	
		検索品質評価改善		完了	開発チーム	-	7/28	7/30	2025/07/30	-	✅4軸動的品質評価システム完成	
	4. Phase 1.3: Confluenceフィルター・テスト			完了	開発チーム	QA	8/7	2025/08/13	2025/08/13	SPEC-PL-001 3.2	✅CLIENTTOMOスペース専用フィルター	
		基本フィルター実装		完了	開発チーム	-	8/7	8/10	2025/08/10	MVP-UI-02	✅コンテンツタイプ・日付フィルター	
		キャッシュ最適化		完了	開発チーム	-	8/9	8/11	2025/08/11	MVP-UI-03	✅検索キャッシュ・エンベディングキャッシュ	
		Stage 1統合テスト		完了	開発チーム	QA	2025/08/11	2025/08/13	2025/08/13	SPEC-QA-001	✅完全動作検証・ユーザビリティテスト	
	5. Phase 2.2: 実Confluence連携			完了	開発チーム	-	2025/07/31	2025/08/06	2025/08/06	新規作成予定	✅本物API・実CQL検索エンジン	
		実Confluence API接続		完了	開発チーム	-	2025/07/31	2025/08/02	2025/08/01	-	✅ダミーから実データへ移行	
		実CQL検索エンジン実装		完了	開発チーム	-	2025/08/01	2025/08/06	2025/08/06	-	✅本物データでの動作検証	
		差分同期機能実装		完了	開発チーム	-	2025/08/05	2025/08/08	2025/08/08	-	✅GitHub Actions差分同期完成	
	6. Phase 2.3: 本番デプロイ・運用基盤			完了	開発チーム	DevOps	2025/09/01	2025/09/15	2025/09/15	-	✅Firebase App Hosting本番稼働	
		Firebase App Hosting設定		完了	開発チーム	-	2025/09/01	2025/09/05	2025/09/05	-	✅本番環境デプロイ完了	
		GitHub Actions CI/CD		完了	開発チーム	-	2025/09/06	2025/09/10	2025/09/10	-	✅自動デプロイ・差分同期完成	
		管理ダッシュボード実装		完了	開発チーム	-	2025/09/11	2025/09/15	2025/09/15	-	✅投稿ログ・パフォーマンス監視完成	
	7. Phase 2.4: パフォーマンス最適化			完了	開発チーム	-	2025/10/01	2025/10/14	2025/10/14	-	✅ビルド最適化・検索精度向上	
		ビルド時間最適化		完了	開発チーム	-	2025/10/01	2025/10/05	2025/10/05	-	✅75-90%高速化達成	
		検索精度チューニング		完了	開発チーム	-	2025/10/06	2025/10/10	2025/10/10	-	✅距離閾値最適化・キャッシュ改善	
		Firestoreリスナー安定化		完了	開発チーム	-	2025/10/11	2025/10/14	2025/10/14	-	✅永続キャッシュ・エラーハンドリング	
	Stage2: ユーザーテスト・フィードバック収集				実行中	開発チーム	PM/QA	2025/10/14	2025/10/28		-	🔄2週間のユーザーテスト期間
	1. Phase 2.5: ユーザーテスト実施			実行中	開発チーム	QA	2025/10/14	2025/10/28		-	🔄実環境でのフィードバック収集	
		社内ユーザーテスト		実行中	開発チーム	QA	2025/10/14	2025/10/21		-	🔄初週：基本動作確認・使い勝手評価	
		フィードバック分析		予定	開発チーム	PM	2025/10/22	2025/10/25		-	📋改善優先度付け・要件整理	
		緊急バグ修正		予定	開発チーム	-	2025/10/14	2025/10/28		-	🔧発見された問題の即時対応	
		検索品質評価		予定	開発チーム	QA	2025/10/22	2025/10/28		-	📊実クエリでの検索精度測定	
	Stage3: Phase 0A - 基盤強化				計画中	開発チーム	Tech Lead	2025/10/28	2025/12/20		phase-0A-implementation-plan.md	⭐基盤強化優先戦略
	1. Phase 0A-1: ラベルシステム拡張			計画中	開発チーム	-	2025/10/28	2025/11/11		-	📋構造化ラベル・自動分類	
		StructuredLabelスキーマ設計		予定	開発チーム	-	2025/10/28	2025/10/30		-	📋category/domain/feature/priority定義	
		自動ラベル付けFlow実装		予定	開発チーム	AI	2025/10/31	2025/11/05		-	🤖Genkit Flow+gemini-1.5-flash	
		データモデル更新		予定	開発チーム	-	2025/11/06	2025/11/08		-	📊Firestore・LanceDBスキーマ拡張	
		LabelManagerV2実装		予定	開発チーム	-	2025/11/09	2025/11/10		-	🔧新ラベル管理ライブラリ	
		ラベル移行スクリプト		予定	開発チーム	-	2025/11/11	2025/11/11		-	🔄旧ラベル→新ラベル一括移行	
	2. Phase 0A-2: Knowledge Graph構築			計画中	開発チーム	-	2025/11/12	2025/12/10		-	🕸️関係性グラフ・エンティティ抽出	
		KGスキーマ設計		予定	開発チーム	-	2025/11/12	2025/11/14		-	📋Node/Edge型定義	
		KG構築プロセス実装		予定	開発チーム	-	2025/11/15	2025/11/22		-	🔧Pub/Sub Cloud Functions	
		ページリンク解析		予定	開発チーム	-	2025/11/23	2025/11/26		-	🔗Confluenceリンク→RELATES_TO	
		グラフ検索API実装		予定	開発チーム	-	2025/11/27	2025/12/01		-	🔍LanceDB KGテーブル検索	
		適応的エンティティ抽出		予定	開発チーム	AI	2025/12/02	2025/12/06		-	⚡キーワードマッチ→LLMフォールバック	
		KG統合テスト		予定	開発チーム	QA	2025/12/07	2025/12/10		-	✅関係性検索・エンティティ抽出検証	
	3. Phase 0A-3: パフォーマンス・品質最適化			計画中	開発チーム	-	2025/12/11	2025/12/20		-	⚡速度向上・検索品質改善	
		評価データセット作成		予定	開発チーム	QA	2025/12/11	2025/12/13		-	📊検索品質評価用データ整備	
		統合重み付け調整		予定	開発チーム	-	2025/12/14	2025/12/17		-	⚖️ベクトル・BM25・KGの最適バランス	
		キャッシュ戦略改善		予定	開発チーム	-	2025/12/18	2025/12/19		-	🚀KGクエリキャッシュ・インデックス最適化	
		統合テスト・ドキュメント		予定	開発チーム	QA	2025/12/20	2025/12/20		-	✅Phase 0A完了検証	
	Stage4: Phase 1-4 - 横断拡張				計画中	開発チーム	Tech Lead	2026/01/06	2026/06/30		genkit-migration-and-expansion-roadmap.md	🔄Jira・マニュアル・BigQuery統合
	1. Phase 1: Jira統合				計画中	開発チーム	-	2026/01/06	2026/02/14		-	🎫チケット管理統合	
		Jira API連携		予定	開発チーム	-	2026/01/06	2026/01/17		-	🔌Jira REST API・JQL検索	
		Jira専用Flow実装		予定	開発チーム	AI	2026/01/18	2026/01/31		-	🤖Jiraチケット解析Flow	
		統合検索UI		予定	開発チーム	UI	2026/02/01	2026/02/10		-	🎨Confluence+Jira統合表示	
		テスト・ドキュメント		予定	開発チーム	QA	2026/02/11	2026/02/14		-	✅Phase 1完了検証	
	2. Phase 2: マニュアル統合				計画中	開発チーム	-	2026/02/15	2026/03/28		-	📖ドキュメント検索統合	
		マニュアルソース連携		予定	開発チーム	-	2026/02/15	2026/02/28		-	📄PDF・Markdown・HTML対応	
		マニュアル専用Flow実装		予定	開発チーム	AI	2026/03/01	2026/03/14		-	🤖マニュアル解析Flow	
		統合検索UI拡張		予定	開発チーム	UI	2026/03/15	2026/03/24		-	🎨3ソース統合表示	
		テスト・ドキュメント		予定	開発チーム	QA	2026/03/25	2026/03/28		-	✅Phase 2完了検証	
	3. Phase 3: BigQuery統合				計画中	開発チーム	-	2026/03/29	2026/05/09		-	📊データ分析統合	
		BigQuery連携		予定	開発チーム	-	2026/03/29	2026/04/11		-	🔌クエリ実行・結果取得	
		データ分析Flow実装		予定	開発チーム	AI	2026/04/12	2026/04/25		-	🤖データ解析・可視化Flow	
		統合検索UI拡張		予定	開発チーム	UI	2026/04/26	2026/05/05		-	🎨4ソース統合表示	
		テスト・ドキュメント		予定	開発チーム	QA	2026/05/06	2026/05/09		-	✅Phase 3完了検証	
	4. Phase 4: 最終統合・最適化				計画中	開発チーム	-	2026/05/10	2026/06/30		-	🎯全体最適化・本番リリース	
		横断検索最適化		予定	開発チーム	-	2026/05/10	2026/05/23		-	⚡4ソース統合クエリ最適化	
		UI/UX最終調整		予定	開発チーム	UI/UX	2026/05/24	2026/06/06		-	🎨ユーザビリティ改善	
		セキュリティ強化		予定	開発チーム	Security	2026/06/07	2026/06/13		-	🔒認証・認可・監査ログ	
		パフォーマンステスト		予定	開発チーム	QA	2026/06/14	2026/06/20		-	📊負荷テスト・最適化	
		本番リリース準備		予定	開発チーム	PM	2026/06/21	2026/06/27		-	📋リリース計画・ドキュメント	
		本番リリース		予定	開発チーム	PM	2026/06/28	2026/06/30		-	🚀全機能本番稼働開始	

